#ID	d0	d1	hhv		umid	v0	T0		sat		use_ndvi	decodifica
10	0	0	-9999	-9999	0	-9999	-9999	false		acque
11	0.1	0	17000	-9999	20	12		40 		false		suolo_nudo
21	0.5	0	17000	-9999	120	12		40		true		praterie_o_coltivi_assimilabili
23	0.5	2	19000	60		120	24		40		false		coltivazioni_arboree
31	1	2	18000	65		60	120		60		false	 	resinose_poco_soggette_al_fuoco
32	1	4	21000	55		120	48		50		false		resinose_soggette_al_fuoco
33	1	2	18000	65		60	120		60		false		latifoglie_poco_soggete_al_fuoco
34	1.5	3	20000	60		100	72		50		false		latifoglie_soggette_al_fuoco
37	1	3	21000	45		140	6		40		false		vegetazione_arbustiva
